Question,SelectedOptionId,TC Category Code
Was there any distributions from a 529 College Savings Plan or an Educational Savings Account (need Form 1099-Q)?,Yes,TC.Q99
"Was the gift greater than the ""annual exclusion"" ($17,000 in 2023)?  If yes, upload the name and address of the recipient, and amount.",No,NOT REQUIERED
W2 DRL #2,N/A,NOT REQUIERED
W2 DRL #2,No,NOT REQUIERED
W2 DRL #2,Yes,TC.WAG
W2 DRL #1,Yes,TC.WAG
W2 DRL #1,N/A,NOT REQUIERED
Upload copy of DL,N/A,NOT REQUIERED
Upload copy of DL,Yes,TC.OTH
"Upload both Control D reports for 12-31, summary of expense, and year-end business bank and loan balances.",No,NOT REQUIERED
"Upload both Control D reports for 12-31, summary of expense, and year-end business bank and loan balances.",Yes,TC.OTH
testing.,Yes,TC.IRA
testing.,No,NOT REQUIERED
testing.,Yes,TC.IRA
Test Questionnaire,Yes,TC.WAG
Test question for generating DRL with same category2?,Yes,TC.WAG
Test question for generating DRL with same category1?,Yes,TC.WAG
Test DRL question,Yes,TC.G99
test adsfadsfasdf,No,NOT REQUIERED
test,Yes,TC.IRA
test,No,NOT REQUIERED
test,N/A,NOT REQUIERED
sdfsf,No,NOT REQUIERED
sdfsf,Yes,TC.WAG
"RETIREMENT CONTRIBUTIONS: Did you/spouse contribute, or plan to contribute to an IRA before 4/15/2024? ",Yes,TC.IRC
"RETIREMENT CONTRIBUTIONS: Did you/spouse contribute, or plan to contribute to an IRA before 4/15/2024? ",N/A,NOT REQUIERED
"RETIREMENT CONTRIBUTIONS: Did you/spouse contribute, or plan to contribute to an IRA before 4/15/2024? ",No,NOT REQUIERED
Question 2,No,NOT REQUIERED
Question 2,Yes,TC.WAG
Question 2,N/A,NOT REQUIERED
Question 1,N/A,NOT REQUIERED
Question 1,No,NOT REQUIERED
Question 1,Yes,TC.WAG
Provide your 1099-MISC,No,NOT REQUIERED
Provide your 1099-MISC,Yes,TC.MIS
Provide your 1099-MISC,N/A,NOT REQUIERED
Provide the sales tax paid for each purchase,N/A,NOT REQUIERED
Provide the sales tax paid for each purchase,Yes,TC.OTH
Provide the sales tax paid for each purchase,No,NOT REQUIERED
Provide the IRS letter for filing returns in 2023.,Yes,TC.IRS
Provide the 1099-SA and 5498-SA for the Health Savings Account.,N/A,NOT REQUIERED
Provide the 1099-SA and 5498-SA for the Health Savings Account.,No,NOT REQUIERED
Provide the 1099-SA and 5498-SA for the Health Savings Account.,Yes,TC.HSA
Provide list of the amount of QCDs issued from each retirement account including which account was used for the QCD,Yes,TC.OTH
"Provide copies of form(s) 1099-INT, 1099-DIV, and/or tax summary documents from bank and/or investment account they received.  If they have their own TaxCaddy account, please select N/A and upload the documents to their account.",N/A,NOT REQUIERED
Provide a spreadsheet itemizing what you did with those funds,Yes,TC.OTH
Provide a spreadsheet itemizing what you did with those funds,N/A,NOT REQUIERED
Provide a spreadsheet itemizing what you did with those funds,No,NOT REQUIERED
"Please upload your bank name, bank account # and the routing number of your banking institution.  Please indicate if this a checking or savings account. ",N/A,NOT REQUIERED
"Please upload your bank name, bank account # and the routing number of your banking institution.  Please indicate if this a checking or savings account. ",Yes,TC.OTH
Please upload the taxing agency correspondence,N/A,NOT REQUIERED
Please upload the taxing agency correspondence,Yes,TC.IRS
Please upload the IRS letter for filing returns in 2023. ,Yes,TC.CPA
Please upload supporting documentation of transaction(s).,Yes,TC.OTH
Please upload documentation of the expenses incurred related to the relocation.,N/A,NOT REQUIERED
Please upload documentation of the expenses incurred related to the relocation.,Yes,TC.MOV
Please Upload CP01A or provide your 6 digit IP Pin(s).,No,NOT REQUIERED
Please Upload CP01A or provide your 6 digit IP Pin(s).,Yes,TC.IRS
Please upload copies of any 1099s received for conversions,N/A,NOT REQUIERED
Please upload copies of any 1099s received for conversions,Yes,TC.IRA
"Please upload childcare expenses.  Please include name of provider, provider's tax id number, mailing address and amount paid in 2023 per child.",Yes,TC.CDC
Please upload a copy of the letter.,Yes,TC.CPA
Please upload a copy of the letter.,N/A,NOT REQUIERED
Please upload a copy of the correspondence received or write the number on a separate sheet and upload for our documentation.,Yes,TC.OTH
"Please upload 1095-A, 1095-B, or 1095-C.",Yes,TC.OTH
"Please provide Year, Make, Model, & VIN of vehicle and date purchased. ",Yes,TC.OTH
Please provide us with copies of the notice,Yes,TC.IRS
Please provide the vehicle purchase agreement.,Yes,TC.OTH
Please provide the tax information for your child if you would like us to prepare the return.,No,NOT REQUIERED
Please provide the tax information for your child if you would like us to prepare the return.,Yes,TC.OTH
Please provide the name and Social Security Number for that person(s) to claim them as a dependent on your tax return.,Yes,TC.OTH
Please provide the K-1 from the newly acquired partnership/LLC or S-Corporation.,Yes,TC.SK1
Please provide the K-1 from the newly acquired partnership/LLC or S-Corporation.,N/A,NOT REQUIERED
Please provide the contribution slip from your broker.,Yes,TC.OTH
Please provide the amounts of real estate taxes paid if not on your form 1098. ,Yes,TC.OTH
Please provide the amounts of real estate taxes paid if not on your form 1098. ,N/A,NOT REQUIERED
Please provide the amounts of real estate taxes paid if not on your form 1098. ,No,NOT REQUIERED
Please provide schedule of gifts.,Yes,TC.OTH
Please provide letter or number received.,Yes,TC.IRS
Please provide letter or number received.,N/A,NOT REQUIERED
Please provide information on the cost and provider of the care for dependents under age 13,Yes,TC.CDC
Please provide Form 1099-SA.,N/A,NOT REQUIERED
Please provide Form 1099-SA.,Yes,TC.HSA
Please provide Form 1099-R.,Yes,TC.IRA
Please provide Form 1098-LTC.,Yes,TC.OTH
Please provide Form 1098-LTC.,N/A,NOT REQUIERED
Please provide documentation stating how much you paid for child care including the EIN number of the provider.,Yes,TC.CDC
Please provide documentation stating how much you paid for child care including the EIN number of the provider.,N/A,NOT REQUIERED
"Please provide documentation describing the unearned income of your child in excess of $2500 (investment statements, etc.)",Yes,TC.KID
"Please provide details including a description of the improvement, cost and date place in service. ",Yes,TC.OTH
"Please provide dependent care payment documentation from provider including their name, EIN/SSN and address.",Yes,TC.CDC
Please provide correspondence.,Yes,TC.CPA
"Please provide copies of form(s) W-2 and/or 1099-NEC they received.  If they have their own TaxCaddy account, please select N/A and upload the documents to their account.",Yes,TC.KID
"Please provide copies of form(s) 1099-INT, 1099-DIV, and/or tax summary documents from bank and/or investment account they received.",Yes,TC.KID
"Please provide bank name, account number, routing number and type of account (i.e. checking, savings, etc.). ",Yes,TC.OTH
Please provide any notices that show a change to prior year tax carryforwards.,N/A,NOT REQUIERED
Please provide any notices that show a change to prior year tax carryforwards.,No,NOT REQUIERED
Please provide any moving expenses related to the military move.,N/A,NOT REQUIERED
Please provide any moving expenses related to the military move.,Yes,TC.MOV
"Please provide any 1099's if provided to you; otherwise, provide whatever statements or tax reporting you received.",Yes,TC.OTH
Please provide additional information and any W-2s or 1099s you received.,Yes,TC.WAG
Please provide additional detail / 1099-Q,Yes,TC.Q99
Please provide a separate schedule of all income and expenses by state.,Yes,TC.OTH
Please provide a separate schedule of all income and expenses by state.,No,NOT REQUIERED
"Please provide a detailed list of assets acquired and disposed of including date of acquisition, purchase price and sales price.",Yes,TC.OTH
Please provide a copy of the notice received from the IRS or State agency.,N/A,NOT REQUIERED
Please provide a copy of the notice received from the IRS or State agency.,Yes,TC.IRS
Please provide a copy of the notice if not sent to us already.,Yes,TC.PYI
Please provide a copy of the letter,Yes,TC.CPA
Please provide a copy of the letter,N/A,NOT REQUIERED
Please indicate below that your bookkeeping is up to date for 2023 ,Yes,TC.OTH
"Please include amount paid per child.  Also include provider name, address and tax ID if new since last year.",Yes,TC.CDC
"please include all Forms 1099-Q and provide the following:  Name of designated beneficiary, state sponsoring plan, 2023 contribution , 2023 distribution",Yes,TC.Q99
Please include a copy of the notice or other correspondence.,Yes,TC.IRS
Please ensure you provide a detailed transaction history of all cryptocurrency transactions in 2023,Yes,TC.OTH
Please attach the vehicle statement from the dealer.,Yes,TC.OTH
Please attach the IRS letter(s).,Yes,TC.IRS
Please attach the IRS letter(s).,N/A,NOT REQUIERED
Please attach copies of all IRS or state tax notices received in 2023 - if not already provided to us.,Yes,TC.IRS
"Own a Business: Did you start a business or acquire an interest in a partnership, S corporation, trust, or REMIC?",No,NOT REQUIERED
"Own a Business: Did you start a business or acquire an interest in a partnership, S corporation, trust, or REMIC?",Yes,TC.SK1
"Other than your BDO K-1, did you receive a Schedule K-1 from partnerships, S corporations or estates and trusts? If yes, please upload the K-1. Note that we already have your BDO Schedule K-1.",N/A,NOT REQUIERED
"Other than your BDO K-1, did you receive a Schedule K-1 from partnerships, S corporations or estates and trusts? If yes, please upload the K-1. Note that we already have your BDO Schedule K-1.",No,NOT REQUIERED
"Other than your BDO K-1, did you receive a Schedule K-1 from partnerships, S corporations or estates and trusts? If yes, please upload the K-1. Note that we already have your BDO Schedule K-1.",Yes,TC.SK1
"Other than Form 1099-G, did you or your spouse receive any letters or notices from the IRS or a State taxing agency?",N/A,NOT REQUIERED
"Other than Form 1099-G, did you or your spouse receive any letters or notices from the IRS or a State taxing agency?",Yes,TC.IRS
"Other than Form 1099-G, did you or your spouse receive any letters or notices from the IRS or a State taxing agency?",No,NOT REQUIERED
"Other Information - Do any of your dependents require a filed tax return, AND do you intend on having Ellingson & Ellingson prepare the filing? (""Yes"" if both are true)",No,NOT REQUIERED
"Other Information - Do any of your dependents require a filed tax return, AND do you intend on having Ellingson & Ellingson prepare the filing? (""Yes"" if both are true)",Yes,TC.KID
"Other Information - Do any of your dependents require a filed tax return, AND do you intend on having Ellingson & Ellingson prepare the filing? (""Yes"" if both are true)",N/A,NOT REQUIERED
Other Income - Did you or your spouse withdraw any amounts from a Coverdell Education Savings Account or Qualified Education Program (Section 529) plan?,Yes,TC.Q99
Other Income - Did you or your spouse withdraw any amounts from a Coverdell Education Savings Account or Qualified Education Program (Section 529) plan?,N/A,NOT REQUIERED
Other Income - Did you or your spouse withdraw any amounts from a Coverdell Education Savings Account or Qualified Education Program (Section 529) plan?,No,NOT REQUIERED
Other Income - (MN Only) Did you or your spouse receive the one-time MN rebate in 2023 ($260 per individual/child)?,N/A,NOT REQUIERED
Other Income - (MN Only) Did you or your spouse receive the one-time MN rebate in 2023 ($260 per individual/child)?,No,NOT REQUIERED
Other Income - (MN Only) Did you or your spouse receive the one-time MN rebate in 2023 ($260 per individual/child)?,Yes,TC.MIS
Other Deductions - Did you or your spouse have any distributions from a health savings account (HSA)? ,Yes,TC.HSA
Other Deductions - Did you or your spouse have any distributions from a health savings account (HSA)? ,N/A,NOT REQUIERED
Other Deductions - Did you or your spouse have any distributions from a health savings account (HSA)? ,No,NOT REQUIERED
"Other Credits - Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",N/A,NOT REQUIERED
"Other Credits - Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",Yes,TC.CDC
"Other Credits - Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",No,NOT REQUIERED
"On property sold, did you receive installment payments?",N/A,NOT REQUIERED
"On property sold, did you receive installment payments?",No,NOT REQUIERED
"Medical Expenses - Did you receive any distributions from a health savings account (HSA), Archer MSA, or Medicare Advantage (MSA) this year?",Yes,TC.HSA
"Medical Expenses - Did you receive any distributions from a health savings account (HSA), Archer MSA, or Medicare Advantage (MSA) this year?",N/A,NOT REQUIERED
"Medical Expenses - Did you receive any distributions from a health savings account (HSA), Archer MSA, or Medicare Advantage (MSA) this year?",No,NOT REQUIERED
Many State Governments require Driver License information for security purposes when tax returns are filed.   Please copy or photo the front and back of your current license (spouse as  well) and upload for our return files. ,No,NOT REQUIERED
Many State Governments require Driver License information for security purposes when tax returns are filed.   Please copy or photo the front and back of your current license (spouse as  well) and upload for our return files. ,Yes,TC.OTH
Many State Governments require Driver License information for security purposes when tax returns are filed.   Please copy or photo the front and back of your current license (spouse as  well) and upload for our return files. ,N/A,NOT REQUIERED
"Loan Forgiveness - Did you have any debts forgiven or cancelled, including credit cards or other debt?",No,NOT REQUIERED
"Loan Forgiveness - Did you have any debts forgiven or cancelled, including credit cards or other debt?",N/A,NOT REQUIERED
"Loan Forgiveness - Did you have any debts forgiven or cancelled, including credit cards or other debt?",Yes,TC.OTH
Kaushal Test -Generated DRL- 09112023,Yes,TC.WAG
Kaushal Test -Generated DRL- 09112023,No,NOT REQUIERED
Kaushal - Parent Questions,Yes,TC.WAG
Kaushal - Parent Questions,No,NOT REQUIERED
Is this your first tax filing?,Yes,TC.PYI
Is this your first tax filing?,No,NOT REQUIERED
Is this the first year you received a retirement plan distribution?,Yes,TC.IRA
Is this the first year you received a retirement plan distribution?,No,NOT REQUIERED
Is this the first year taking a distribution from an Education Savings Account?,No,NOT REQUIERED
Is this the first K-1 you have received from an entity?,Yes,TC.SK1
Is this the first K-1 you have received from an entity?,N/A,NOT REQUIERED
Is this the first K-1 you have received from an entity?,No,NOT REQUIERED
IRS/State Notices - Were you or your spouse notified or audited by the IRS or a State taxing agency?,N/A,NOT REQUIERED
IRS/State Notices - Were you or your spouse notified or audited by the IRS or a State taxing agency?,Yes,TC.IRS
IRS/State Notices - Were you or your spouse notified or audited by the IRS or a State taxing agency?,No,NOT REQUIERED
Investment Income - Did you acquire a new or additional interest in a partnership or S Corporation?  This could include a publicly traded partnership through your brokerage account.,No,NOT REQUIERED
Investment Income - Did you acquire a new or additional interest in a partnership or S Corporation?  This could include a publicly traded partnership through your brokerage account.,N/A,NOT REQUIERED
Include Form(s) 1099-SA,Yes,TC.HSA
Include Form(s) 1099-SA,N/A,NOT REQUIERED
Include Form(s) 1099-SA,No,NOT REQUIERED
Include Form(s) 1099-Q,Yes,TC.Q99
Include Form(s) 1099-Q,N/A,NOT REQUIERED
Include Form(s) 1099-Q,No,NOT REQUIERED
"In 2023, did you or your spouse have any student loan(s) discharged under the Biden-Harris Administration's student loan debt relief plan?",No,NOT REQUIERED
"In 2023, did you or your spouse have any student loan(s) discharged under the Biden-Harris Administration's student loan debt relief plan?",N/A,NOT REQUIERED
"If your self employment or business was profitable, did you pay for medical insurance or long term care insurance for any family member?",No,NOT REQUIERED
"If your self employment or business was profitable, did you pay for medical insurance or long term care insurance for any family member?",Yes,TC.95B
"If your self employment or business was profitable, did you pay for medical insurance or long term care insurance for any family member?",N/A,NOT REQUIERED
"If you selected ""Yes"" on Marital Change, select ""Yes"" again to save the relevant documents.",N/A,NOT REQUIERED
"If you selected ""Yes"" on Marital Change, select ""Yes"" again to save the relevant documents.",Yes,TC.OTH
"If you received a distribution from an HSA, include all Forms 1099-SA and 5498-SA.  Were all HSA/MSA distributions for qualified medical expenses?",No,NOT REQUIERED
"If you received a distribution from an HSA, include all Forms 1099-SA and 5498-SA.  Were all HSA/MSA distributions for qualified medical expenses?",Yes,TC.HSA
"If you received a distribution from an HSA, include all Forms 1099-SA and 5498-SA.  Were all HSA/MSA distributions for qualified medical expenses?",N/A,NOT REQUIERED
"If you or your spouse are self-employed, did you pay health insurance or long-term care premiums?",N/A,NOT REQUIERED
"If you or your spouse are self-employed, did you pay health insurance or long-term care premiums?",Yes,TC.OTH
"If you or your spouse are self-employed, did you pay health insurance or long-term care premiums?",No,NOT REQUIERED
"If you moved due to military service, did you incur moving expenses?",No,NOT REQUIERED
"If you moved due to military service, did you incur moving expenses?",N/A,NOT REQUIERED
"If you incurred moving expenses for military service related reasons, please upload documentation of the expenses incurred related to the relocation.",N/A,NOT REQUIERED
"If you incurred moving expenses for military service related reasons, please upload documentation of the expenses incurred related to the relocation.",No,NOT REQUIERED
"If you have a spouse, do they have a current driver's license? If yes, please upload a copy.",Yes,TC.OTH
"If you have a health savings account (HSA), did you take any distributions?",N/A,NOT REQUIERED
"If you have a health savings account (HSA), did you take any distributions?",No,NOT REQUIERED
"If you have a health savings account (HSA), did you take any distributions?",Yes,TC.HSA
