CPAQuestions,AnswerText,SelectedOptionId,OptionText,FormCategoryId,FirmId,Category Name,FormTypeID
"Did you donate a vehicle or boat during the year? If yes, attach Form 1098-C or other  written acknowledgment from the donee organization. ",NULL,2,No,1886,1582,Other Tax Payments,0
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan?",NULL,3,N/A,1851,1886,Foreign Bank Account,0
Did you pay personal property taxes during 2023?,NULL,1,Yes,1883,935,1099-G Unemployment Compensation,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,2,No,1895,291,Loan Closing Statement,0
Did your spouse earn income from a non-U.S. employer?,NULL,1,Yes,3155,2571,December Statement from CollegeInvest or other 529 plan provider,0
Did you sell a primary residence or any other real estate during the year?,NULL,2,No,3047,1458,Foreign Stock Transactions,0
Were you or your spouse notified or audited by the IRS or a State taxing agency?,NULL,1,Yes,1853,214,1099-C,0
"If you purchased your Healthcare coverage through the Healthcare Marketplace, we will not be able to file without Form 1095-A.  Please provide. Otherwise, select N/A for this question.",NULL,3,N/A,1859,2059,Business auto usage,0
"Do you have closing statements?  If yes, please upload them.",NULL,3,N/A,1837,1574,529/Coverdell Year End Statement ,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,1,Yes,1895,291,Loan Closing Statement,0
"Did you receive any distributions from a Health savings account (HSA), Archer MSA, or Medicare Advantage MSA this year?",NULL,1,Yes,1844,1732,Rental Income & Expenses (Per Property),0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,2,No,1841,1574,IRS/State Notices,0
"Did you sell, exchange, or purchase any other real estate during the year?",NULL,2,No,1837,2702,529/Coverdell Year End Statement ,0
"Were you or your spouse a K-12 teacher, counselor, or principal for at least 900 hours during the year?  If yes, include support for any unreimbursed expenses related to this work, including pandemic supplies.",NULL,3,N/A,1843,2509,Housing Closing Statement/HUD,0
"Did you or your spouse pay mortgage interest during the year? If yes, please upload the Form 1098.",NULL,2,No,1875,702,Home Purchase Disclosure,0
"Did you, your spouse, and dependents (if applicable) have full year healthcare coverage?",NULL,2,No,1860,1913,Home office,0
"Did you or your spouse receive rental income for personal property or real estate, including a room in your home, regardless of whether you received a Form 1099?",NULL,1,Yes,1852,2509,Form 8332,0
"Did you or your spouse pay any individual $2,600 or more in household employee wages?",NULL,2,No,1858,1281,Crypto,0
"Did you maintain a financial account in a foreign country, such as a bank account or securities account, that exceeded $10,000 USD any time during the year?",NULL,3,N/A,1889,2585,529 Contribution Documentation,0
Did you utilize any portion of your home for business use?,NULL,2,No,1870,2593,Taxpayer's Driver License,0
Did you or your spouse receive a distribution from an HSA?,NULL,2,No,1844,2496,Rental Income & Expenses (Per Property),0
"Did you or your spouse pay any individual $2,600 or more in household employee wages? If yes, please upload documentation.",NULL,1,Yes,1858,702,Crypto,0
Did you or your spouse pay any student loan interest this year?,NULL,2,No,1845,2428,Unemployment (1099-G),0
"Did you make any cash or noncash charitable contributions (clothes, furniture, etc.)? If Yes, please provide evidence such as a receipt for any contribution greater than $250.",NULL,1,Yes,1886,1484,Other Tax Payments,0
"Did you, your spouse, or a dependent incur any tuition expenses that are required to attend a college, university or vocational school?",NULL,1,Yes,1864,2645,PPP Loan Details,0
Did you make any withdrawals from an education savings or 529 Plan account?,NULL,1,Yes,1833,2702,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) ,0
"Did you or your spouse contribute to a retirement plan (401(k), IRA, Roth IRA, SEP, SIMPLE, defined benefit, or any other retirement plan) that is not reflected on any IRS forms?",NULL,2,No,1838,934,Electric Vehicle (Manufacturer's certification and bill of sale),0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,2,No,1841,526,IRS/State Notices,0
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",NULL,1,Yes,1863,2552,Unreimbursed Business Expenses,0
"Did you or your spouse receive income through any of the following methods (bartering transaction, tips, prize money, gambling winnings, etc.)?",NULL,2,No,1835,2428,Cancelled/Forgiven Debt (1099-C),0
"Did you, your spouse, or any dependent obtain health insurance from the marketplace this year?",NULL,1,Yes,1859,2131,Business auto usage,0
"Did you or your spouse make any large retail purchases (cars, boats, etc.)?",NULL,3,N/A,1837,2530,529/Coverdell Year End Statement ,0
Did you work for an employer? ,NULL,3,N/A,1246,2529,Schedule K-1s,23692
Were you or your spouse notified or audited by the IRS or a State taxing agency?,NULL,3,N/A,1853,2085,1099-C,0
"Did you sell, exchange, or purchase any other real estate during the year? If yes, please provide the closing statement.",NULL,2,No,2965,2330,Stock Sales Supplement Form From Institution (RSU/ISO/ESPP),0
"Did you or your spouse make any contibutions to donor advised funds, private foundations, or supporting organizations?",NULL,1,Yes,1886,2509,Other Tax Payments,0
Did you utilize a vehicle for business purposes?,NULL,1,Yes,1869,1977,Qualified Charitable Distribution (QCD) Proof,0
Did you or your spouse receive any distributions from a 529 Plan during the year?  If Yes please upload your 1099-Q.  ,NULL,1,Yes,1833,725,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) ,0
Did you purchase or sell your primary residence?,NULL,1,Yes,1837,653,529/Coverdell Year End Statement ,0
"Do you have evidence to substantiate all of your charitable contributions in the form of a bank record, such as a canceled check or credit card statement, or a written communication from the charity documenting the donation?",NULL,1,Yes,1886,1395,Other Tax Payments,0
Please provide any notices that show a change to prior year tax carryforwards.,NULL,2,No,1854,2476,1099-G,0
"Did you pay estimated taxes for tax year 2022? If yes, please upload documentation of the estimated tax payments.",NULL,3,N/A,1854,2484,1099-G,0
Did you utilize any portion of your home for business use?,NULL,2,No,1870,1570,Taxpayer's Driver License,0
"Did you sell, exchange, or purchase any other real estate during the year?",NULL,2,No,1837,2502,529/Coverdell Year End Statement ,0
"Did you or your spouse receive payment from a retirement (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",NULL,2,No,1851,2635,Foreign Bank Account,0
Did you or your spouse receive Social Security Income? ,NULL,2,No,1253,2529,IRS Notices,20355
"Was the coverage Marketplace coverage through healthcare.gov?  If Yes, please upload a copy of the 1095-A to the Document Request List Section.",NULL,3,N/A,1859,1536,Business auto usage,0
"Did you have any children that were under age 19 or were a full-time student under age 24 that had unearned income (interest, dividends, capital gains) in excess of $2,500?",NULL,1,Yes,1834,2377,"New Income Source (W2, 1099, K1)",0
Were you or your spouse notified or audited by the IRS or a State taxing agency?,NULL,1,Yes,1891,2377,Adoption Expenses,0
Did you or your spouse receive any foreign income or pay any foreign taxes (other than that reported on a brokerage statement)?,NULL,1,Yes,1866,1299,Identity Protection PIN (IP PIN) Letter,0
Did you or your spouse have any distributions pertaining to a health savings account (HSA)?,NULL,2,No,1844,1717,Rental Income & Expenses (Per Property),0
Did you purchase or sell your primary residence?,NULL,1,Yes,1837,707,529/Coverdell Year End Statement ,0
Did you purchase or sell your primary residence?,NULL,1,Yes,1837,2306,529/Coverdell Year End Statement ,0
Did you refinance your primary residence?,NULL,3,N/A,1837,2386,529/Coverdell Year End Statement ,0
"Did you or your spouse convert any funds from a traditional IRA to a Roth IRA? If yes, provide a copy of each Form 1099-R and documentation to support the Roth conversion. ",NULL,2,No,1851,2631,Foreign Bank Account,0
Did you or your spouse buy or sell stocks or mutual funds? ,NULL,2,No,1247,2529,1099-MISC (Misc. Income),2059400
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,1,Yes,1895,2330,Loan Closing Statement,0
Did you or your spouse take out a home equity loan this year?,NULL,3,N/A,1837,2511,529/Coverdell Year End Statement ,0
Did you foreclose or abandon a primary residence or real property?,NULL,2,No,1854,1437,1099-G,0
Did you or your spouse make any gifts or contributions to any one entity or individual?,NULL,1,Yes,1886,2635,Other Tax Payments,0
Please provide letter or number received.,NULL,1,Yes,1853,2542,1099-C,0
Did you or your spouse pay any individual $2600 or more in household employee wages?,NULL,2,No,1858,2530,Crypto,0
Please provide the amounts of real estate taxes paid if not on your form 1098. ,NULL,2,No,1854,2509,1099-G,0
Did you utilize any portion of your home for business use (not related to W2 income)?,NULL,1,Yes,1870,2476,Taxpayer's Driver License,0
Did you start a business or farm? Please provide business/farm income and expenses for each business,NULL,2,No,1850,2557,1098-T (Education),0
"Did you receive a distribution from an Education Savings Account or a Qualified Tuition Program? If so, please provide all 1099-Q forms received with additional confirmation of all college expenditures.",NULL,1,Yes,1833,1888,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) ,0
Did you or your spouse contribute to a Health Savings Account? Please upload all Forms 5498-SA. ,NULL,2,No,1839,702,Large Retail Purchase (Bill of Sale),0
"Did you begin or complete a 1031 exchange of rental real estate during the year? If yes, provide the copy of the closing statements for the purchase, sale, and exchange documents.",NULL,3,N/A,1837,2631,529/Coverdell Year End Statement ,0
Did you make any purchases or improvements for an energy-efficient vehicle or home?,NULL,1,Yes,3007,1570,Closing Statement - Sale,0
"If yes, do you have a health savings account (HSA) and did you make any deductible contributions to it?  Maximum individual contributions are $3,850 ($7,750 for family coverage).  An additional catch-up contribution of $1,000 is available if  the covered participant is at least 55 years of age.",NULL,1,Yes,1839,1305,Large Retail Purchase (Bill of Sale),0
Did you or your spouse make any gifts to any individual?,NULL,1,Yes,1854,1836,1099-G,0
Did you donate any cash contributions to a qualifying charity? ,NULL,1,Yes,1886,2585,Other Tax Payments,0
"Did you make any purchases for an energy-efficient vehicle or home for which you'd like to claim a tax credit? (""Yes"" answer generates an ""Other Credits"" document request.)",NULL,1,Yes,1862,1408,Closing Statement,0
Did you make any estimated tax payments for 2023?,NULL,1,Yes,1895,2131,Loan Closing Statement,0
Did you or your spouse pay any real estate taxes?,NULL,3,N/A,1875,2509,Home Purchase Disclosure,0
"Did you or your spouse receive payment from a retirement (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",NULL,2,No,1851,1570,Foreign Bank Account,0
Did you incur interest expenses associated with any investment accounts you held?,NULL,3,N/A,1849,1870,Estimated Tax Payments,0
Did you refinance any other mortgage?,NULL,2,No,1837,2386,529/Coverdell Year End Statement ,0
Were you or your spouse notified or audited by the IRS or a State taxing agency? Please provide copies.,NULL,1,Yes,1272,2011,Educator Expenses,20398
"Do (did) you have an IP PIN? If you had one last year, you must get a new one every year (https://www.irs.gov/identity-theft-fraud-scams/retrieve-your-ip-pin)",NULL,2,No,3050,1458,529 / Education Account Year-End Statement,0
"If yes, did you use a service to prepare 2023 withholdings for that employee (i.e. Schedule H)? Please upload copies.",NULL,2,No,1858,1906,Crypto,0
Did you pay property taxes?,NULL,1,Yes,3174,1458,Estimate Payments,0
Did you or your spouse receive any Social Security Benefits?,NULL,2,No,1253,180,IRS Notices,20355
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,3,N/A,1895,2167,Loan Closing Statement,0
Estimated Tax Payments - do we have copies of all your 2023 estimated tax payment confirmations? ,NULL,2,No,1895,2077,Loan Closing Statement,0
Were any estimated tax payments made for 2023?,NULL,3,N/A,1895,1419,Loan Closing Statement,0
Did you make any estimated tax payments?,NULL,2,No,1895,2388,Loan Closing Statement,0
Did you make any purchases or improvements for an energy-efficient vehicle or home?,NULL,3,N/A,1862,2326,Closing Statement,0
Did you purchase Health Insurance from the Marketplace? Please provide the IRS Form 1095-A (Health Insurance Marketplace Statement) with your tax documents.,NULL,3,N/A,1859,1040,Business auto usage,0
Did you or your spouse receive unemployment? ,NULL,2,No,2837,2529,IRS IP PIN Letter,0
Did you place any new assets in service or dispose of any existing assets for this entity in 2023? If so please post a message so we can provide you with a fillable template to complete. ,NULL,2,No,3206,377,0,0
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",NULL,2,No,1863,2552,Unreimbursed Business Expenses,0
Did you pay real estate taxes on a primary and second home?  ,NULL,1,Yes,1883,1395,1099-G Unemployment Compensation,0
"Did you purchase a new primary residence? If yes, please provide the closing docs from the purchase.",NULL,2,No,3036,2484,Business Retirement Account Statement,0
"Did you have any debts canceled or forgiven this year, such as a home mortgage or student loan(s)?",NULL,3,N/A,1854,2420,1099-G,0
Do you own your home? ,NULL,2,No,1875,2561,Home Purchase Disclosure,0
Did you pay quarterly estimated taxes for tax year 2023?,NULL,2,No,1893,1678,"Other Income (bartering transactions, tips, prize money, gambling winnings)",0
"Did your Schedule C business or Schedule F farm receive a Paycheck Protection Program (PPP) loan?  If your loan was forgiven in 2023, provide details of the amount of loan forgiven including the forgiveness response from your lender.",NULL,2,No,3466,2188,0,0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,2,No,1841,2637,IRS/State Notices,0
"Did you or your spouse receive deferred, retirement, or severance compensation?",NULL,2,No,1851,2561,Foreign Bank Account,0
Did you withdraw any amounts from a Coverdell Educations Savings Account or Qualified Education Program (Section 529) plan?,NULL,2,No,1833,1224,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) ,0
"Did you have any children that were under age 19 or were a full-time student under age 24 that had unearned (investment: interest, dividend, capital gains) income in excess of $1250?",NULL,1,Yes,1834,2585,"New Income Source (W2, 1099, K1)",0
Did you purchase or sell your primary residence?,NULL,1,Yes,1837,2420,529/Coverdell Year End Statement ,0
Did you make any cash contributions during the year?,NULL,2,No,1886,2502,Other Tax Payments,0
"Did you have any children that were under age 19 or were a full-time student under age 24 that had unearned income (interest, dividends, capital gains) in excess of $2,500?",NULL,2,No,1834,2377,"New Income Source (W2, 1099, K1)",0
"Do you have any foreign financial accounts, foreign financial assets, or hold interest in a foreign entity?",NULL,2,No,1890,1870,ABLE Account 1099QA / 5498-QA,0
Did you or your spouse take out a home equity loan this year?,NULL,2,No,1875,2283,Home Purchase Disclosure,0
Did you or your spouse make estimated federal or state tax payments? ,NULL,2,No,1289,2529,1095-C (Employer-Provided Health Coverage),0
Did you receive any crop insurance proceeds during the year?,NULL,2,No,1829,2284,Questionnaire,0
Did you or your spouse perform any work outside of the U.S. or pay any foreign taxes?,NULL,2,No,1866,1574,Identity Protection PIN (IP PIN) Letter,0
Did you or your spouse pay any student loan interest this year?,NULL,3,N/A,1845,2530,Unemployment (1099-G),0
Were you employed in 2023 and expect to receive a 1099 from your employer?,NULL,2,No,1857,2561,Estimated Payment Supporting Documents,0
Did you receive any notices or correspondence from either the IRS or a State taxing agency?,NULL,3,N/A,1853,2593,1099-C,0
Did you make any Estimated Tax Payments for Federal and/or State?,NULL,2,No,1895,1437,Loan Closing Statement,0
Did you receive Form 1099-S?,NULL,1,Yes,1836,1574,"Cyrpto Transaction(s) Detail  (Form 8949, Excel spreadsheet of transactions,  Schedule D)",0
Attach the vehicle statement from the dealer.,NULL,3,N/A,1862,2085,Closing Statement,0
"If applicable, did you or your spouse receive unemployment compensation?",NULL,2,No,3054,2131,BOUGHT OR SOLD REAL ESTATE: Please provide the Settlement Statement(s) for your purchase or sale of a primary residence or other real estate.,0
Did you foreclose or abandon a primary residence or real property?,NULL,2,No,1837,2635,529/Coverdell Year End Statement ,0
"Did you sell, exchange, or purchase any other real estate during the year?",NULL,1,Yes,1837,707,529/Coverdell Year End Statement ,0
Did you refinance your primary residence?,NULL,2,No,1837,2593,529/Coverdell Year End Statement ,0
"Excluding BDO long-term care insurance, did you pay for or receive long-term care for yourself or your family? If yes, please upload the amounts paid in 2023.",NULL,2,No,1881,702,Form 3921 - Exercise of Incentive Stock Options,0
"Did you start a business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC?",NULL,1,Yes,1892,715,Settlement Statement (HUD) ,0
"Did you sell, exchange, or purchase any other real estate during the year? If yes, please provide the closing statement.",NULL,1,Yes,2965,2330,Stock Sales Supplement Form From Institution (RSU/ISO/ESPP),0
"Did you, your spouse, or any dependent receive healthcare coverage this year from the marketplace?",NULL,3,N/A,1859,2315,Business auto usage,0
Did you or your spouse take distribution(s) from a Health Savings Account? Please upload all Form 5498-SA's. ,NULL,1,Yes,1839,702,Large Retail Purchase (Bill of Sale),0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,2,No,1895,1808,Loan Closing Statement,0
"Did you or your spouse receive an IP PIN Letter from the IRS? If so, please provide it to us. Without this form, you will be unable to efile. (*Note that if you use an IP PIN, you will receive a NEW PIN annually)  **You and your spouse might EACH receive a PIN - please provide BOTH if this is the case.",NULL,3,N/A,1854,1906,1099-G,0
"Did you get your health insurance through the Federal Marketplace (HealthCare.gov) or a State Marketplace?  If yes, a copy of Form 1095-A is required . ",NULL,3,N/A,1283,2011,Prior Year,25255
Did you sell RSUs or ISOs?,NULL,2,No,3178,1458,Retirement,0
Did you sell stock or receive interest/dividend income?,NULL,2,No,1849,1971,Estimated Tax Payments,0
"Did you or your spouse pay any individual $2,600 or more in household employee wages?  If yes, provide a copy of Form W-2 issued to each household employee.  If yes, did you pay total wages of $1,000 or more in any calendar quarter to all household employees?",NULL,3,N/A,1858,1395,Crypto,0
"Provide reports of all activities.  For sales, trades, hard forks, and other transactions that are reported as sales, you may be able to obtain Forms 8949 from the company hosting your cryptocurrency wallet. Please review the FAQs for additional information about reporting requirements. https://www.irs.gov/individuals/international-taxpayers/frequently-asked-questions-on-virtual-currency-transactions",NULL,1,Yes,1849,2631,Estimated Tax Payments,0
Did you incur moving costs because of a permanent change of station as a member of the Armed Forces on active duty?,NULL,3,N/A,1841,2085,IRS/State Notices,0
Did you refinance your primary residence?,NULL,2,No,1875,2315,Home Purchase Disclosure,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,2,No,1895,1215,Loan Closing Statement,0
"Did you hold non-US financial assets; trusts, mutual funds, bank accounts, brokerage or pension accounts (including RRSP, PE, etc.) outside of your US-based brokerage accounts that the aggregate total amounts exceeded $10,000 USD at any time during the year?",NULL,3,N/A,1889,1033,529 Contribution Documentation,0
"Did you or your spouse pay or receive self-employment income, excluding income from your Deloitte partnership?",NULL,3,N/A,1850,1281,1098-T (Education),0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,1,Yes,1895,3,Loan Closing Statement,0
Did you purchase or sell your primary residence?,NULL,1,Yes,1854,1437,1099-G,0
"Do you and/or your spouse have a valid state issued driver's license or identification? If so, please upload a photo for each.",NULL,2,No,1854,2502,1099-G,0
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",NULL,1,Yes,1863,2432,Unreimbursed Business Expenses,0
Did you have a significant amount of out-of-pocket medical expenses? (Greater than 10% of your Adjusted Gross Income),NULL,2,No,1881,2530,Form 3921 - Exercise of Incentive Stock Options,0
Were you or your spouse notified or audited by the IRS or a State taxing agency?,NULL,1,Yes,1891,1395,Adoption Expenses,0
"If yes, please upload evidence of payments (cancelled checks or online payment confirmations)",NULL,1,Yes,1895,1472,Loan Closing Statement,0
Did you or your spouse perform any work outside of the U.S. or pay any related foreign taxes?,NULL,1,Yes,1866,1574,Identity Protection PIN (IP PIN) Letter,0
"TAX NOTICES: During 2023, did you receive any tax notices (NOT Form 1099-Gs which documents prior year refunds)?  Please upload copies if they were not already provided to POF.",NULL,1,Yes,2961,377,EV Charger,0
"Did you or your spouse refinance your primary residence? If yes, please upload the closing statement.",NULL,1,Yes,1837,702,529/Coverdell Year End Statement ,0
"Did you or your spouse make payment to a retirement plan (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",NULL,1,Yes,693,2571,Form 5498 (IRA Contribution),20476
Did you receive any 1099-NEC's?,NULL,1,Yes,1857,2629,Estimated Payment Supporting Documents,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,2,No,1895,2663,Loan Closing Statement,0
"Did you pay out-of-pocket medical expenses or long-term care premiums you'd like to try to deduct? (""Yes"" answer generates a ""Medical Expense"" document request.)",NULL,2,No,1881,1408,Form 3921 - Exercise of Incentive Stock Options,0
Did you or your spouse make payment to a pension or profit sharing plan this year or expect to make any payment next year?,NULL,1,Yes,1838,2593,Electric Vehicle (Manufacturer's certification and bill of sale),0
Did you sell your primary residence?,NULL,3,N/A,1837,1413,529/Coverdell Year End Statement ,0
Did you purchase Health Insurance from the Marketplace? Please provide the IRS Form 1095-A (Health Insurance Marketplace Statement) with your tax documents.,NULL,1,Yes,1859,1040,Business auto usage,0
Have you already provided our firm with your prior year tax return?,NULL,1,Yes,1847,2530,1099-R (Retirement Rollover),0
Did you or your spouse contribute to an HSA account?,NULL,3,N/A,1839,1971,Large Retail Purchase (Bill of Sale),0
Did you purchase your primary residence?,NULL,1,Yes,1837,214,529/Coverdell Year End Statement ,0
"DEBTS: Did you/spouse have any debts canceled, forgiven or refinanced (other than mortgage loan refinance) in 2023? If so, upload documentation such as Form 1099-C.",NULL,2,No,3185,377,Business Forms W-3,0
Did any bona fide nonbusiness debts owed to you/your spouse or investments that you or your spouse made in the past become worthless during the year?,NULL,1,Yes,1836,2509,"Cyrpto Transaction(s) Detail  (Form 8949, Excel spreadsheet of transactions,  Schedule D)",0
Did you sell stock or receive interest/dividend income?,NULL,1,Yes,1849,1971,Estimated Tax Payments,0
Have you or your spouse received a legal settlement award for other than physical injuries or physical illness?,NULL,3,N/A,1837,2509,529/Coverdell Year End Statement ,0
"Did your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan? ",NULL,2,No,1851,702,Foreign Bank Account,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,2,No,1895,2698,Loan Closing Statement,0
"Did you or your spouse receive any distributions from long-term care insurance contracts? (If Yes, include Forms 1099-LTC.)",NULL,1,Yes,1854,1075,1099-G,0
"Do you own a foreign bank or trust account that had a balance that exceeded $10,000 at any time last year? (If yes, please provide the bank statement(s) for each relevant account(s) that contains the highest balance for the year.)",NULL,1,Yes,1314,2289,Foreign Financial Assets,0
"Did you receive a refund on your prior year personal state tax return? If so, please log into your state portal and provide 1099-G.",NULL,2,No,1831,2315,Contracts,0
"Did you make any purchases of a new or used clean energy vehicle, a clean energy home improvement or an energy efficient home improvement?",NULL,1,Yes,1862,180,Closing Statement,0
Did you or your spouse pay any student loan interest this year?,NULL,2,No,1845,2036,Unemployment (1099-G),0
