CPAQuestions,SelectedOptionId,FormCategoryId,Category Name
"Did you sell, exchange, or purchase any other real estate during the year?",2,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year?",3,0,Not Required
"Did you, your spouse, or any dependent receive healthcare coverage this year?",1,1859,Business auto usage
"Did the account(s), at any time in 2023, have more than a $10,000 USD balance, combined? If yes, please provide details in the document section. ",1,1889,529 Contribution Documentation
"Did you donate a vehicle or boat during the year? If yes, attach Form 1098-C or other  written acknowledgment from the donee organization. ",2,0,Not Required
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan?",3,0,Not Required
Did you pay personal property taxes during 2023?,1,1883,1099-G Unemployment Compensation
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
Did your spouse earn income from a non-U.S. employer?,1,3155,December Statement from CollegeInvest or other 529 plan provider
Did you sell a primary residence or any other real estate during the year?,2,0,Not Required
Were you or your spouse notified or audited by the IRS or a State taxing agency?,1,1853,1099-C
"If you purchased your Healthcare coverage through the Healthcare Marketplace, we will not be able to file without Form 1095-A.  Please provide. Otherwise, select N/A for this question.",3,0,Not Required
"Do you have closing statements?  If yes, please upload them.",3,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
"Did you receive any distributions from a Health savings account (HSA), Archer MSA, or Medicare Advantage MSA this year?",1,1844,Rental Income & Expenses (Per Property)
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year?",2,0,Not Required
"Were you or your spouse a K-12 teacher, counselor, or principal for at least 900 hours during the year?  If yes, include support for any unreimbursed expenses related to this work, including pandemic supplies.",3,0,Not Required
"Did you or your spouse pay mortgage interest during the year? If yes, please upload the Form 1098.",2,0,Not Required
"Did you, your spouse, and dependents (if applicable) have full year healthcare coverage?",2,0,Not Required
"Did you or your spouse receive rental income for personal property or real estate, including a room in your home, regardless of whether you received a Form 1099?",1,1852,Form 8332
"Did you or your spouse pay any individual $2,600 or more in household employee wages?",2,0,Not Required
"Did you maintain a financial account in a foreign country, such as a bank account or securities account, that exceeded $10,000 USD any time during the year?",3,0,Not Required
Did you utilize any portion of your home for business use?,2,0,Not Required
Did you or your spouse receive a distribution from an HSA?,2,0,Not Required
"Did you or your spouse pay any individual $2,600 or more in household employee wages? If yes, please upload documentation.",1,1858,Crypto
Did you or your spouse pay any student loan interest this year?,2,0,Not Required
"Did you make any cash or noncash charitable contributions (clothes, furniture, etc.)? If Yes, please provide evidence such as a receipt for any contribution greater than $250.",1,1886,Other Tax Payments
"Did you, your spouse, or a dependent incur any tuition expenses that are required to attend a college, university or vocational school?",1,1864,PPP Loan Details
Did you make any withdrawals from an education savings or 529 Plan account?,1,1833,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) 
"Did you or your spouse contribute to a retirement plan (401(k), IRA, Roth IRA, SEP, SIMPLE, defined benefit, or any other retirement plan) that is not reflected on any IRS forms?",2,0,Not Required
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",1,1863,Unreimbursed Business Expenses
"Did you or your spouse receive income through any of the following methods (bartering transaction, tips, prize money, gambling winnings, etc.)?",2,0,Not Required
"Did you, your spouse, or any dependent obtain health insurance from the marketplace this year?",1,1859,Business auto usage
"Did you or your spouse make any large retail purchases (cars, boats, etc.)?",3,0,Not Required
Did you work for an employer? ,3,0,Not Required
Were you or your spouse notified or audited by the IRS or a State taxing agency?,3,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year? If yes, please provide the closing statement.",2,0,Not Required
"Did you or your spouse make any contibutions to donor advised funds, private foundations, or supporting organizations?",1,1886,Other Tax Payments
Did you utilize a vehicle for business purposes?,1,1869,Qualified Charitable Distribution (QCD) Proof
Did you or your spouse receive any distributions from a 529 Plan during the year?  If Yes please upload your 1099-Q.  ,1,1833,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) 
Did you purchase or sell your primary residence?,1,1837,529/Coverdell Year End Statement 
"Do you have evidence to substantiate all of your charitable contributions in the form of a bank record, such as a canceled check or credit card statement, or a written communication from the charity documenting the donation?",1,1886,Other Tax Payments
Please provide any notices that show a change to prior year tax carryforwards.,2,0,Not Required
"Did you pay estimated taxes for tax year 2022? If yes, please upload documentation of the estimated tax payments.",3,0,Not Required
Did you utilize any portion of your home for business use?,2,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year?",2,0,Not Required
"Did you or your spouse receive payment from a retirement (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",2,0,Not Required
Did you or your spouse receive Social Security Income? ,2,0,Not Required
"Was the coverage Marketplace coverage through healthcare.gov?  If Yes, please upload a copy of the 1095-A to the Document Request List Section.",3,0,Not Required
"Did you have any children that were under age 19 or were a full-time student under age 24 that had unearned income (interest, dividends, capital gains) in excess of $2,500?",1,1834,"New Income Source (W2, 1099, K1)"
Were you or your spouse notified or audited by the IRS or a State taxing agency?,1,1891,Adoption Expenses
Did you or your spouse receive any foreign income or pay any foreign taxes (other than that reported on a brokerage statement)?,1,1866,Identity Protection PIN (IP PIN) Letter
Did you or your spouse have any distributions pertaining to a health savings account (HSA)?,2,0,Not Required
Did you purchase or sell your primary residence?,1,1837,529/Coverdell Year End Statement 
Did you purchase or sell your primary residence?,1,1837,529/Coverdell Year End Statement 
Did you refinance your primary residence?,3,0,Not Required
"Did you or your spouse convert any funds from a traditional IRA to a Roth IRA? If yes, provide a copy of each Form 1099-R and documentation to support the Roth conversion. ",2,0,Not Required
Did you or your spouse buy or sell stocks or mutual funds? ,2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
Did you or your spouse take out a home equity loan this year?,3,0,Not Required
Did you foreclose or abandon a primary residence or real property?,2,0,Not Required
Did you or your spouse make any gifts or contributions to any one entity or individual?,1,1886,Other Tax Payments
Please provide letter or number received.,1,1853,1099-C
Did you or your spouse pay any individual $2600 or more in household employee wages?,2,0,Not Required
Please provide the amounts of real estate taxes paid if not on your form 1098. ,2,0,Not Required
Did you utilize any portion of your home for business use (not related to W2 income)?,1,1870,Taxpayer's Driver License
Did you start a business or farm? Please provide business/farm income and expenses for each business,2,0,Not Required
"Did you receive a distribution from an Education Savings Account or a Qualified Tuition Program? If so, please provide all 1099-Q forms received with additional confirmation of all college expenditures.",1,1833,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) 
Did you or your spouse contribute to a Health Savings Account? Please upload all Forms 5498-SA. ,2,0,Not Required
"Did you begin or complete a 1031 exchange of rental real estate during the year? If yes, provide the copy of the closing statements for the purchase, sale, and exchange documents.",3,0,Not Required
Did you make any purchases or improvements for an energy-efficient vehicle or home?,1,3007,Closing Statement - Sale
"If yes, do you have a health savings account (HSA) and did you make any deductible contributions to it?  Maximum individual contributions are $3,850 ($7,750 for family coverage).  An additional catch-up contribution of $1,000 is available if  the covered participant is at least 55 years of age.",1,1839,Large Retail Purchase (Bill of Sale)
Did you or your spouse make any gifts to any individual?,1,1854,1099-G
Did you donate any cash contributions to a qualifying charity? ,1,1886,Other Tax Payments
"Did you make any purchases for an energy-efficient vehicle or home for which you'd like to claim a tax credit? (""Yes"" answer generates an ""Other Credits"" document request.)",1,1862,Closing Statement
Did you make any estimated tax payments for 2023?,1,1895,Loan Closing Statement
Did you or your spouse pay any real estate taxes?,3,0,Not Required
"Did you or your spouse receive payment from a retirement (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",2,0,Not Required
Did you incur interest expenses associated with any investment accounts you held?,3,0,Not Required
Did you refinance any other mortgage?,2,0,Not Required
Were you or your spouse notified or audited by the IRS or a State taxing agency? Please provide copies.,1,1272,Educator Expenses
"Do (did) you have an IP PIN? If you had one last year, you must get a new one every year (https://www.irs.gov/identity-theft-fraud-scams/retrieve-your-ip-pin)",2,0,Not Required
"If yes, did you use a service to prepare 2023 withholdings for that employee (i.e. Schedule H)? Please upload copies.",2,0,Not Required
Did you pay property taxes?,1,3174,Estimate Payments
Did you or your spouse receive any Social Security Benefits?,2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",3,0,Not Required
Estimated Tax Payments - do we have copies of all your 2023 estimated tax payment confirmations? ,2,0,Not Required
Were any estimated tax payments made for 2023?,3,0,Not Required
Did you make any estimated tax payments?,2,0,Not Required
Did you make any purchases or improvements for an energy-efficient vehicle or home?,3,0,Not Required
Did you purchase Health Insurance from the Marketplace? Please provide the IRS Form 1095-A (Health Insurance Marketplace Statement) with your tax documents.,3,0,Not Required
Did you or your spouse receive unemployment? ,2,0,Not Required
Did you place any new assets in service or dispose of any existing assets for this entity in 2023? If so please post a message so we can provide you with a fillable template to complete. ,2,0,Not Required
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",2,0,Not Required
Did you pay real estate taxes on a primary and second home?  ,1,1883,1099-G Unemployment Compensation
"Did you purchase a new primary residence? If yes, please provide the closing docs from the purchase.",2,0,Not Required
"Did you have any debts canceled or forgiven this year, such as a home mortgage or student loan(s)?",3,0,Not Required
Do you own your home? ,2,0,Not Required
Did you pay quarterly estimated taxes for tax year 2023?,2,0,Not Required
"Did your Schedule C business or Schedule F farm receive a Paycheck Protection Program (PPP) loan?  If your loan was forgiven in 2023, provide details of the amount of loan forgiven including the forgiveness response from your lender.",2,0,Not Required
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
"Did you or your spouse receive deferred, retirement, or severance compensation?",2,0,Not Required
Did you withdraw any amounts from a Coverdell Educations Savings Account or Qualified Education Program (Section 529) plan?,2,0,Not Required
"Did you have any children that were under age 19 or were a full-time student under age 24 that had unearned (investment: interest, dividend, capital gains) income in excess of $1250?",1,1834,"New Income Source (W2, 1099, K1)"
Did you purchase or sell your primary residence?,1,1837,529/Coverdell Year End Statement 
Did you make any cash contributions during the year?,2,0,Not Required
"Did you have any children that were under age 19 or were a full-time student under age 24 that had unearned income (interest, dividends, capital gains) in excess of $2,500?",2,0,Not Required
"Do you have any foreign financial accounts, foreign financial assets, or hold interest in a foreign entity?",2,0,Not Required
Did you or your spouse take out a home equity loan this year?,2,0,Not Required
Did you or your spouse make estimated federal or state tax payments? ,2,0,Not Required
Did you receive any crop insurance proceeds during the year?,2,0,Not Required
Did you or your spouse perform any work outside of the U.S. or pay any foreign taxes?,2,0,Not Required
Did you or your spouse pay any student loan interest this year?,3,0,Not Required
Were you employed in 2023 and expect to receive a 1099 from your employer?,2,0,Not Required
Did you receive any notices or correspondence from either the IRS or a State taxing agency?,3,0,Not Required
Did you make any Estimated Tax Payments for Federal and/or State?,2,0,Not Required
Did you receive Form 1099-S?,1,1836,"Cyrpto Transaction(s) Detail  (Form 8949, Excel spreadsheet of transactions,  Schedule D)"
Attach the vehicle statement from the dealer.,3,0,Not Required
"If applicable, did you or your spouse receive unemployment compensation?",2,0,Not Required
Did you foreclose or abandon a primary residence or real property?,2,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year?",1,1837,529/Coverdell Year End Statement 
Did you refinance your primary residence?,2,0,Not Required
"Excluding BDO long-term care insurance, did you pay for or receive long-term care for yourself or your family? If yes, please upload the amounts paid in 2023.",2,0,Not Required
"Did you start a business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC?",1,1892,Settlement Statement (HUD) 
"Did you sell, exchange, or purchase any other real estate during the year? If yes, please provide the closing statement.",1,2965,Stock Sales Supplement Form From Institution (RSU/ISO/ESPP)
"Did you, your spouse, or any dependent receive healthcare coverage this year from the marketplace?",3,0,Not Required
Did you or your spouse take distribution(s) from a Health Savings Account? Please upload all Form 5498-SA's. ,1,1839,Large Retail Purchase (Bill of Sale)
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
"Did you or your spouse receive an IP PIN Letter from the IRS? If so, please provide it to us. Without this form, you will be unable to efile. (*Note that if you use an IP PIN, you will receive a NEW PIN annually)  **You and your spouse might EACH receive a PIN - please provide BOTH if this is the case.",3,0,Not Required
"Did you get your health insurance through the Federal Marketplace (HealthCare.gov) or a State Marketplace?  If yes, a copy of Form 1095-A is required . ",3,0,Not Required
Did you sell RSUs or ISOs?,2,0,Not Required
Did you sell stock or receive interest/dividend income?,2,0,Not Required
"Did you or your spouse pay any individual $2,600 or more in household employee wages?  If yes, provide a copy of Form W-2 issued to each household employee.  If yes, did you pay total wages of $1,000 or more in any calendar quarter to all household employees?",3,0,Not Required
"Provide reports of all activities.  For sales, trades, hard forks, and other transactions that are reported as sales, you may be able to obtain Forms 8949 from the company hosting your cryptocurrency wallet. Please review the FAQs for additional information about reporting requirements. https://www.irs.gov/individuals/international-taxpayers/frequently-asked-questions-on-virtual-currency-transactions",1,1849,Estimated Tax Payments
Did you incur moving costs because of a permanent change of station as a member of the Armed Forces on active duty?,3,0,Not Required
Did you refinance your primary residence?,2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
"Did you hold non-US financial assets; trusts, mutual funds, bank accounts, brokerage or pension accounts (including RRSP, PE, etc.) outside of your US-based brokerage accounts that the aggregate total amounts exceeded $10,000 USD at any time during the year?",3,0,Not Required
"Did you or your spouse pay or receive self-employment income, excluding income from your Deloitte partnership?",3,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
Did you purchase or sell your primary residence?,1,1854,1099-G
"Do you and/or your spouse have a valid state issued driver's license or identification? If so, please upload a photo for each.",2,0,Not Required
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",1,1863,Unreimbursed Business Expenses
Did you have a significant amount of out-of-pocket medical expenses? (Greater than 10% of your Adjusted Gross Income),2,0,Not Required
Were you or your spouse notified or audited by the IRS or a State taxing agency?,1,1891,Adoption Expenses
"If yes, please upload evidence of payments (cancelled checks or online payment confirmations)",1,1895,Loan Closing Statement
Did you or your spouse perform any work outside of the U.S. or pay any related foreign taxes?,1,1866,Identity Protection PIN (IP PIN) Letter
"TAX NOTICES: During 2023, did you receive any tax notices (NOT Form 1099-Gs which documents prior year refunds)?  Please upload copies if they were not already provided to POF.",1,2961,EV Charger
"Did you or your spouse refinance your primary residence? If yes, please upload the closing statement.",1,1837,529/Coverdell Year End Statement 
"Did you or your spouse make payment to a retirement plan (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",1,693,Form 5498 (IRA Contribution)
Did you receive any 1099-NEC's?,1,1857,Estimated Payment Supporting Documents
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
"Did you pay out-of-pocket medical expenses or long-term care premiums you'd like to try to deduct? (""Yes"" answer generates a ""Medical Expense"" document request.)",2,0,Not Required
Did you or your spouse make payment to a pension or profit sharing plan this year or expect to make any payment next year?,1,1838,Electric Vehicle (Manufacturer's certification and bill of sale)
Did you sell your primary residence?,3,0,Not Required
Did you purchase Health Insurance from the Marketplace? Please provide the IRS Form 1095-A (Health Insurance Marketplace Statement) with your tax documents.,1,1859,Business auto usage
Have you already provided our firm with your prior year tax return?,1,1847,1099-R (Retirement Rollover)
Did you or your spouse contribute to an HSA account?,3,0,Not Required
Did you purchase your primary residence?,1,1837,529/Coverdell Year End Statement 
"DEBTS: Did you/spouse have any debts canceled, forgiven or refinanced (other than mortgage loan refinance) in 2023? If so, upload documentation such as Form 1099-C.",2,0,Not Required
Did any bona fide nonbusiness debts owed to you/your spouse or investments that you or your spouse made in the past become worthless during the year?,1,1836,"Cyrpto Transaction(s) Detail  (Form 8949, Excel spreadsheet of transactions,  Schedule D)"
Did you sell stock or receive interest/dividend income?,1,1849,Estimated Tax Payments
Have you or your spouse received a legal settlement award for other than physical injuries or physical illness?,3,0,Not Required
"Did your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan? ",2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
"Did you or your spouse receive any distributions from long-term care insurance contracts? (If Yes, include Forms 1099-LTC.)",1,1854,1099-G
"Do you own a foreign bank or trust account that had a balance that exceeded $10,000 at any time last year? (If yes, please provide the bank statement(s) for each relevant account(s) that contains the highest balance for the year.)",1,1314,Foreign Financial Assets
"Did you receive a refund on your prior year personal state tax return? If so, please log into your state portal and provide 1099-G.",2,0,Not Required
"Did you make any purchases of a new or used clean energy vehicle, a clean energy home improvement or an energy efficient home improvement?",1,1862,Closing Statement
Did you or your spouse pay any student loan interest this year?,2,0,Not Required
Did you enroll for lower cost Marketplace Coverage through healthcare.gov under the Affordable Care Act? ,3,0,Not Required
Did you or your spouse begin receiving Social Security benefits in 2023?,1,1830,1099-G (Unemployment)
Did you engage in crypto activity across multiple exchanges and/or wallets?,3,0,Not Required
"Did you have any sales, trades and disposals of Fixed Assets?",1,1854,1099-G
Question 1,2,0,Not Required
"Did you or your spouse make any cash or non-cash charitable contributions to qualified non-profit organizations? If yes, please upload receipts or provide a  listing of amounts, names of the organization, and dates of contributions. For non-cash contributions, receipts are preferred.",1,1886,Other Tax Payments
Did you purchase any other real estate during the year?,3,0,Not Required
Did you or your spouse pay any real estate taxes?,1,1875,Home Purchase Disclosure
"Did you sell, exchange, or purchase any other real estate during the year?",3,0,Not Required
"HOUSEHOLD EMPLOYEE: Did you/spouse pay in excess of $1,000 in any quarter or $2,600 during the year for domestic services performed in or around your home to individuals who could be considered household employees? If so, upload any W-2's issued to employees and Sch H if prepared (or other expense documentation). ",2,0,Not Required
test,1,1851,Foreign Bank Account
Did you or your spouse have any transactions pertaining to a medical savings account (MSA)?,3,0,Not Required
"Did you, your spouse, or any dependent receive healthcare coverage this year? ",1,1861,Notices
"Did you purchase or sell your primary residence? (If yes, please provided the closing statement)",2,0,Not Required
"Did you or your spouse pay for childcare while you worked, looked for work, or were a full-time student? (""Yes"" answer generates a ""Child Care Expenses"" document request.)",2,0,Not Required
Did you or your spouse pay any mortgage interest on a primary residence?,1,1875,Home Purchase Disclosure
"Did your spouse receive payment from a pension or profit sharing plan this year or expect to receive any payment next year? If yes, please upload documentation.",3,0,Not Required
"Education Expenses - Did you, your spouse, or a child or student attend a post-secondary school and have out of pocket expenses paid by yourself or from a student loan?",2,0,Not Required
Were you eligible for employer sponsored healthcare coverage?,1,1861,Notices
"Did you pay estimated taxes (Federal or State) for tax year 2022? If yes, a request to upload the estimated tax payments will appear in the ""Documents"" section of TaxCaddy.",3,0,Not Required
Did you make any contributions or take any distributions from an education savings or a 529 Plan account that was created this year??,2,0,Not Required
Did you or your spouse take out a home equity loan this year?,2,0,Not Required
"Do you have a home equity loan, or did you take out a new home equity loan this year?",3,0,Not Required
Did you pay any mortgage interest on an existing home loan?,1,1875,Home Purchase Disclosure
"Did you or your spouse contribute to an IRA during the year (or do you plan to make a contribution prior to April 15, 2024)?",1,1838,Electric Vehicle (Manufacturer's certification and bill of sale)
"Did you, your spouse, or dependents receive an Identity Protection PIN (IP PIN) from the IRS or have you been a victim of identity theft? If yes, attach the IRS letter for filing returns in 2023.",1,1854,1099-G
Are any of the dependents you are claiming attending college?,1,1864,PPP Loan Details
"Did you make any contributions to a Health Savings Account (HSA) or Archer MSA? If yes, please upload Form 5498-SA.",1,1839,Large Retail Purchase (Bill of Sale)
Did you or your spouse pay any student loan interest this year?,1,1845,Unemployment (1099-G)
"Did you provide a list of all medical expenses that may qualify for an AZ itemized deduction, even if not deductible on the federal return?",1,1881,Form 3921 - Exercise of Incentive Stock Options
"Did you, your spouse, or your dependents incur any post-secondary education expenses, such as tuition?",2,0,Not Required
Did you or your spouse pay wages to a household employee?,1,3228,0
Did you pay any mortgage interest on an existing home loan? ,2,0,Not Required
Did you or  your spouse have any transactions pertaining to a health savings account (HSA)?,1,1839,Large Retail Purchase (Bill of Sale)
Did you refinance your primary residence?,2,0,Not Required
Did you or your spouse make any noncash charitable contributions?,2,0,Not Required
"Other than Form 1099-G, did you or your spouse receive any letters or notices from the IRS or a State taxing agency?",1,1853,1099-C
"Did you or your spouse receive income through any of the following methods (bartering transactions, tips, prize money, gambling winnings, etc.)",1,1835,Cancelled/Forgiven Debt (1099-C)
"Did you receive Form 1099-S for the sale of your home? If so, please upload a copy. ",3,0,Not Required
"Were you or your spouse a K-12 teacher, counselor, or principal for at least 900 hours during the year?  If yes, include support for any unreimbursed expenses related to this work, including pandemic supplies.",2,0,Not Required
Did you make any contributions to a Health Savings Account (HSA) or Archer MSA?,3,0,Not Required
"Did you or your spouse receive payment from a pension, profit sharing plan, or retirement plan (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",1,1851,Foreign Bank Account
"Did you or your spouse receive payment from a retirement (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",2,0,Not Required
Did you or your spouse do a ROTH IRA Conversion in 2023?,3,0,Not Required
Did you make any contributions to your Health Savings Account that were not made through your employer?  ,3,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
Did you purchase or sell your principal home or second home? Please provide closing documents.,1,1854,1099-G
"Did you or your spouse pay for childcare while you worked, looked for work, or were a full-time student? (""Yes"" answer generates a ""Child Care"" document request.)",1,1863,Unreimbursed Business Expenses
Gift Summary - Have you provided a summary of gifts made?,2,0,Not Required
Did you or your spouse sell your primary residence?,2,0,Not Required
Was this the first year you took a distribution from a Health Savings Account (HSA)?,1,1844,Rental Income & Expenses (Per Property)
Did you have an automobile for your business? ,3,0,Not Required
"DEPENDENTS: Did you/spouse or your qualifying dependent(s) take distributions from a qualified education plan (i.e. 529 plan) in 2023? If so, upload Form 1099-Q.",1,1833,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) 
"Did you receive any ministerial income from outside of your employment (speaking, book or music royalties, etc) that will be reported on Schedule C?  ",3,0,Not Required
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan?",1,1851,Foreign Bank Account
Did you purchase or sell your primary residence?,2,0,Not Required
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",3,0,Not Required
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
Include Form(s) 1099-SA,3,0,Not Required
"Other Credits - Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",2,0,Not Required
"Did you receive any nonemployee compensation during 2023?  If so, please upload a copy of Form 1099-NEC.",1,1857,Estimated Payment Supporting Documents
Did you or your spouse pay any student loan interest this year?,1,1845,Unemployment (1099-G)
"Did you or your spouse pay real or personal property taxes during the year? If yes, please upload tax statements and/or a list of property taxes paid in 2023.",2,0,Not Required
"Do you have any children age 18 or student children, aged 19 to 23, who did not provide more than half of their cost of support with earned income and that have unearned income of more than $1,250?",2,0,Not Required
Did you or your spouse pay any student loan interest this year?,2,0,Not Required
Did you make donations of non-cash items to charitable organizations?,3,0,Not Required
"You indicated a job change this year, please share with us your new Form W2. ",3,0,Not Required
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan? If so, provide IRS Form 1099-R.",2,0,Not Required
Did you purchase or sell your primary residence?,1,1837,529/Coverdell Year End Statement 
"Did you or your spouse receive income through any of the following methods: bartering transactions, tips, prize money, gambling winnings, etc. ",2,0,Not Required
"Did you start a NEW business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC in 2023?",2,0,Not Required
"ALTERNATIVE ENERGY: Did you install any alternative energy equipment in your primary residence (main home) such as solar water heaters, solar electricity equipment (photovoltaic), or fuel cells?  ",2,0,Not Required
"If applicable, did you or your spouse receive unemployment compensation?",3,0,Not Required
